Order ID	Customer ID	Product Name	Quantity	Price per Unit	Total Price	Order Date	Status
1001	125	Tablet	5	378	1890	2025-02-27	Delivered
1002	186	Smartwatch	5	1585	7925	2025-01-11	Processing
1003	121	Printer	2	1354	2708	2025-01-23	Shipped
1004	164	Camera	5	664	3320	2025-02-24	Processing
1005	182	Mouse	5	596	2980	2025-02-02	Delivered
1006	170	Camera	1	1839	1839	2025-02-05	Shipped
1007	168	Headphones	1	1024	1024	2025-01-29	Cancelled
1008	155	Tablet	2	1329	2658	2025-03-11	Shipped
1009	141	Headphones	4	1456	5824	2025-02-05	Shipped
1010	162	Keyboard	1	1050	1050	2025-02-05	Processing
1011	199	Tablet	3	593	1779	2025-02-28	Shipped
1012	120	Keyboard	2	1175	2350	2025-02-12	Delivered
1013	188	Smartwatch	1	1193	1193	2025-03-12	Delivered
1014	139	Keyboard	3	328	984	2025-02-11	Processing
1015	164	Tablet	3	1003	3009	2025-01-03	Processing
1016	192	Headphones	1	1199	1199	2025-03-17	Cancelled
1017	110	Smartwatch	2	727	1454	2025-03-09	Cancelled
1018	144	Headphones	2	740	1480	2025-02-26	Delivered
1019	181	Mouse	2	1334	2668	2025-01-22	Processing
1020	113	Printer	3	110	330	2025-03-24	Delivered
1021	193	Laptop	2	366	732	2025-01-26	Processing
1022	200	Printer	2	481	962	2025-02-25	Delivered
1023	120	Monitor	4	1744	6976	2025-02-18	Delivered
1024	195	Keyboard	5	843	4215	2025-03-20	Processing
1025	153	Mouse	5	509	2545	2025-01-08	Cancelled
1026	198	Keyboard	2	1191	2382	2025-01-02	Shipped
1027	165	Smartphone	3	1968	5904	2025-03-31	Shipped
1028	158	Smartphone	5	93	465	2025-01-22	Shipped
1029	185	Monitor	3	748	2244	2025-03-24	Delivered
1030	179	Smartwatch	2	1940	3880	2025-02-06	Processing
1031	176	Printer	5	723	3615	2025-02-02	Shipped
1032	185	Laptop	4	1039	4156	2025-03-30	Processing
1033	117	Headphones	1	1915	1915	2025-01-23	Cancelled
1034	179	Printer	5	617	3085	2025-03-13	Delivered
1035	136	Headphones	5	1385	6925	2025-01-17	Cancelled
1036	117	Mouse	3	760	2280	2025-02-25	Cancelled
1037	126	Tablet	1	1152	1152	2025-02-19	Delivered
1038	122	Tablet	4	1496	5984	2025-01-10	Delivered
1039	109	Monitor	5	1050	5250	2025-01-30	Cancelled
1040	147	Keyboard	1	1499	1499	2025-01-12	Cancelled
1041	162	Smartwatch	5	171	855	2025-02-08	Shipped
1042	119	Laptop	4	727	2908	2025-01-10	Delivered
1043	178	Tablet	3	768	2304	2025-03-16	Cancelled
1044	122	Smartwatch	1	508	508	2025-03-07	Processing
1045	189	Keyboard	4	140	560	2025-02-10	Delivered
1046	175	Camera	1	450	450	2025-01-21	Cancelled
1047	124	Smartphone	3	186	558	2025-03-04	Shipped
1048	134	Printer	2	559	1118	2025-02-01	Delivered
1049	143	Headphones	5	521	2605	2025-03-21	Processing
1050	173	Headphones	4	1760	7040	2025-03-21	Processing
1051	176	Monitor	1	1297	1297	2025-02-24	Shipped
